song_name,genre,length,tempo,sample_rate,zero_crossing_rate_mean,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var
Smash Mouth - I'm a Believer (Lyrics) (Shrek).wav,Rock,8730624,165.4411765,48000,0.06359808875,0.4889854,0.07754002,0.29758152,0.012046429,2826.728461,410153.5782,2950.061708,161639.1903,6121.316172,-65.29288,4763.016,163.83493,490.56393,-61.856373,319.60245,54.696953,316.0359,-19.66813,255.98183,18.114193,127.3322,3.9482994,63.76713,-7.833538,94.92966,16.806543,94.156876,-8.84309,68.20135,9.945614,67.25454,-3.7035146,47.988728,-0.86729187,43.476223,6.0068765,45.969486,-7.030432,66.1972
Little Richard - Tutti Frutti.wav,Rock,6839296,187.5,48000,0.06674356542,0.3532618,0.09419917,0.15020287,0.0045488123,2954.096521,493020.0898,3115.372034,240706.8625,5599.769467,-142.67758,4255.2295,141.99818,644.4532,-56.476723,526.29504,41.195374,362.27356,-13.541947,285.99167,0.919172,226.1664,-13.701838,116.77377,6.8803,135.89159,-20.456705,85.7611,-0.15421675,94.75207,-12.360589,68.89003,-6.356128,74.29049,-5.4081903,74.0788,-7.91,63.133457,4.7757998,63.025585
Wake me up Before you Go Go- lyrics.wav,Rock,10734592,83.95522388,48000,0.07622227282,0.4409891,0.088522375,0.3276743,0.016495215,3528.45276,1220325.216,3767.815418,499982.8629,7318.241165,-45.99907,7369.377,130.38849,1061.9304,-41.50326,428.8269,40.66129,228.49644,-12.225877,232.4206,28.136503,144.67255,-16.568832,185.55785,13.422896,107.31452,-1.0211018,104.4198,6.9164395,86.10303,-6.2326183,74.447044,6.9058714,76.72449,-2.1798627,60.873,-4.080642,77.87672,0.18265058,69.682785
Mötley Crüe - kickstart my heart (WITH lyrics).wav,Rock,13501440,89.28571429,48000,0.08227344639,0.5521975,0.067689456,0.1447875,0.0023229476,3394.23902,614830.5622,3359.384555,402884.1707,6821.048394,-103.66922,3442.8755,138.38518,570.8333,-59.911613,257.82373,49.66461,296.98972,-11.657387,312.91324,29.146524,163.38489,-6.8102365,94.46921,14.57351,97.27989,-2.1650186,81.456985,9.372649,88.36818,0.15592031,56.850765,-0.042141166,74.58283,4.668986,73.70393,-1.9209319,50.396652,2.3009472,53.444267
Slow Ride- Foghat (Full Version).wav,Rock,23620608,114.7959184,48000,0.08324391989,0.5048341,0.07770726,0.1080821,0.0020379405,3783.846691,1288692.441,3925.986197,634902.1984,8058.269718,-145.29231,6200.1104,125.368004,840.1509,-34.532566,582.7428,47.6816,307.96402,-18.944513,244.06375,18.09001,168.68082,-9.91005,146.60735,18.36229,123.178055,-6.364971,102.372406,10.938257,90.933784,-0.5700526,93.8031,3.3369727,67.78422,-0.49342647,60.896446,-2.2633224,65.944984,-1.4864664,67.561745
Michael Jackson - Come together (with lyrics).wav,Rock,11473408,89.28571429,48000,0.07113893274,0.49148276,0.087940626,0.1435229,0.007609601,3368.201236,3182843.518,3624.295416,1343952.338,6909.17838,-160.9287,10843.251,128.22678,2126.2166,-23.573015,1157.0845,38.481575,555.3883,0.35379604,666.5439,14.838705,236.20413,-4.630667,196.63776,12.163131,145.3917,-1.6719961,141.74458,8.370999,96.28331,-3.3619502,136.19812,4.195491,121.695724,-2.7788036,115.54535,0.71576434,84.835,-0.35942885,69.50753
Aretha Franklin - Think (The Blues Brothers Version).wav,Rock,9231360,127.8409091,48000,0.07780240398,0.38127598,0.09315187,0.14562073,0.005180296,3347.287935,611956.4312,3583.732978,357920.3214,7334.398484,-125.12096,5221.918,138.84584,338.6423,-46.66801,471.42816,33.741325,257.9371,-23.052187,191.99365,36.417202,133.76091,-14.8939,123.34446,12.15761,123.13132,-2.5031476,86.703674,5.0467525,69.84737,2.2807846,57.08828,-3.7201989,49.55103,6.4116683,50.02122,-8.719539,60.26994,7.048025,70.878456
The State Of Massachusetts - Dropkick Murphys.wav,Rock,11139584,148.0263158,48000,0.07013044652,0.51410925,0.06986212,0.2806655,0.006349077,2994.256781,644761.6694,3346.761519,405047.4584,6088.729217,-52.690247,4971.332,159.8479,368.296,-55.251366,351.89108,44.29911,328.12268,-16.355473,138.95457,25.399635,202.37494,-5.3729453,125.36371,6.686851,113.56871,-12.494576,65.63822,12.639703,72.97901,-8.415396,72.68944,13.323924,96.47571,3.6548207,58.060966,-0.07077291,38.70389,11.238359,65.99931
Dion - Runaround Sue (HD).wav,Rock,8103424,79.22535211,48000,0.06335790895,0.36609182,0.09398852,0.09768974,0.0024004024,2854.785398,749157.7894,3000.396123,231603.7536,5759.191089,-194.58595,9577.454,146.23831,850.032,-52.19644,778.46106,47.86456,266.65298,-16.533236,281.0013,12.830307,250.29861,-0.8885152,132.4597,-0.8359872,110.132256,-1.7624359,86.96418,1.2211604,70.71585,-5.297335,85.52306,-0.88880134,79.69585,3.9967847,77.91049,4.096156,99.55252,-1.0487869,68.50564
Limp Bizkit- My Way Lyrics.wav,Rock,13075968,96.98275862,48000,0.05960239425,0.51263416,0.08277189,0.24963096,0.019235805,2538.259338,845304.9147,2685.623731,538917.8405,5136.054657,-106.489944,8850.996,158.77779,528.26544,-50.288685,676.1632,36.18923,1176.4393,-8.289249,324.91714,22.155998,280.96634,-0.2306142,128.6587,0.8559461,167.9691,8.1605,86.783516,1.6445297,91.76034,9.071344,74.369,-2.7365391,63.674877,5.264468,70.09231,-0.26987675,55.849976,1.208484,47.456383
